kmeans_labels,Driver,LapNumber,Team,LapTime_Sec,Position,Compound,Sector1Time_Sec,Sector2Time_Sec,Sector3Time_Sec,TyreLife,TrackTemp,SpeedST,Compound_Num,pca_x,pca_y
0,LAW,59.0,Racing Bulls,74.003,17.0,SOFT,25.379,26.304,22.32,10.0,29.0,299.0,1,0.08261675226199697,0.09571623426804099
0,SAI,59.0,Williams,73.885,18.0,SOFT,25.076,26.525,22.284,11.0,29.0,310.0,1,0.06494253557997914,0.10579375698009635
3,PIA,60.0,McLaren,72.271,1.0,HARD,24.661,25.567,22.043,8.0,28.5,295.0,3,0.061877697706850324,0.46843946578021317
3,NOR,60.0,McLaren,72.918,2.0,HARD,24.854,25.896,22.168,8.0,28.5,312.0,3,0.04568676444679154,0.4698414665502585
0,VER,60.0,Red Bull Racing,73.445,3.0,SOFT,24.933,26.346,22.166,10.0,28.5,304.0,1,0.07482059985717388,0.13314943869623158
0,HAD,60.0,Racing Bulls,73.619,4.0,SOFT,24.952,26.408,22.259,9.0,28.5,300.0,1,0.08474144081490238,0.12392412849625317
0,RUS,60.0,Mercedes,73.904,5.0,SOFT,25.21,26.582,22.112,10.0,28.5,306.0,1,0.07692990353557841,0.1337548979989004
0,ALB,60.0,Williams,73.912,6.0,SOFT,25.12,26.681,22.111,7.0,28.5,321.0,1,0.06148889079628804,0.1040699581127647
0,ANT,60.0,Mercedes,73.772,7.0,SOFT,24.957,26.74,22.075,10.0,28.5,318.0,1,0.05918971325563968,0.13374734602499694
3,GAS,60.0,Alpine,75.403,8.0,HARD,25.623,26.993,22.787,37.0,28.5,307.0,3,0.03135228161653261,0.7635397611507417
3,ALO,60.0,Aston Martin,75.948,10.0,HARD,25.726,26.863,23.359,20.0,28.5,306.0,3,0.07103859641576604,0.5974495773013728
0,BEA,60.0,Haas F1 Team,75.031,9.0,MEDIUM,25.739,26.587,22.705,7.0,28.5,300.0,2,0.09715276940774285,0.28609727739432755
3,STR,60.0,Aston Martin,75.241,11.0,HARD,25.843,26.971,22.427,8.0,28.5,325.0,3,0.05464596083495574,0.47462352016593007
0,TSU,60.0,Red Bull Racing,74.838,12.0,SOFT,25.479,26.751,22.608,10.0,28.5,306.0,1,0.08888316345758644,0.13661725728292395
3,BOR,60.0,Kick Sauber,81.06,16.0,HARD,27.217,28.048,25.795,38.0,28.5,317.0,3,0.08781480374270549,0.7907137547209462
0,OCO,60.0,Haas F1 Team,74.614,13.0,MEDIUM,25.494,26.69,22.43,8.0,28.5,335.0,2,0.040548380248827426,0.2944127386164776
0,COL,60.0,Alpine,74.76,14.0,MEDIUM,25.933,26.81,22.017,7.0,28.5,318.0,2,0.06624977451508103,0.2835600510606912
0,HUL,60.0,Kick Sauber,75.161,15.0,MEDIUM,25.948,26.82,22.393,7.0,28.5,302.0,2,0.09486847171344763,0.2855135814445388
0,LAW,60.0,Racing Bulls,73.879,17.0,SOFT,25.167,26.42,22.292,11.0,28.5,298.0,1,0.08652843669290243,0.14405691141751026
0,SAI,60.0,Williams,74.167,18.0,SOFT,25.228,26.587,22.352,12.0,28.5,319.0,1,0.05842401257402974,0.1544395238034939
3,PIA,61.0,McLaren,72.721,1.0,HARD,24.87,25.833,22.018,9.0,28.3,292.0,3,0.07154615354674863,0.494530015794678
3,NOR,61.0,McLaren,72.908,2.0,HARD,24.921,25.916,22.071,9.0,28.3,295.0,3,0.06963705893375446,0.49500015262377445
0,VER,61.0,Red Bull Racing,73.437,3.0,SOFT,25.065,26.314,22.058,11.0,28.3,299.0,1,0.0812993482728073,0.15794884885662974
0,HAD,61.0,Racing Bulls,73.424,4.0,SOFT,24.957,26.282,22.185,10.0,28.3,299.0,1,0.08355328027432637,0.14845356889495148
0,RUS,61.0,Mercedes,73.977,5.0,SOFT,25.211,26.545,22.221,11.0,28.3,304.0,1,0.08103761771594993,0.1593804480562369
0,ALB,61.0,Williams,74.013,6.0,SOFT,25.106,26.734,22.173,8.0,28.3,322.0,1,0.061746600717780875,0.1297077770076046
0,ANT,61.0,Mercedes,73.963,7.0,SOFT,25.15,26.731,22.082,11.0,28.3,318.0,1,0.06105062795834307,0.15908203962277595
3,GAS,61.0,Alpine,75.718,8.0,HARD,25.819,27.194,22.705,38.0,28.3,302.0,3,0.042030166953188425,0.7892029861872578
0,BEA,61.0,Haas F1 Team,75.629,9.0,MEDIUM,25.989,27.07,22.57,8.0,28.3,302.0,2,0.10146592702875182,0.3123097027166677
3,ALO,61.0,Aston Martin,75.645,10.0,HARD,25.749,27.161,22.735,21.0,28.3,329.0,3,0.0336148535606505,0.6204770146818728
3,STR,61.0,Aston Martin,75.805,11.0,HARD,26.139,27.041,22.625,9.0,28.3,330.0,3,0.05414787327711659,0.5010246758905671
0,TSU,61.0,Red Bull Racing,75.394,12.0,SOFT,25.714,27.202,22.478,11.0,28.3,307.0,1,0.09411922205573496,0.16276117188912465
0,OCO,61.0,Haas F1 Team,75.237,13.0,MEDIUM,25.715,27.078,22.444,9.0,28.3,311.0,2,0.08262814541427856,0.32138397131552277
0,COL,61.0,Alpine,75.176,14.0,MEDIUM,25.727,27.2,22.249,8.0,28.3,313.0,2,0.08055936673778251,0.3109696170506945
0,HUL,61.0,Kick Sauber,74.912,15.0,MEDIUM,25.344,27.206,22.362,8.0,28.3,324.0,2,0.06315211502192054,0.31110455810918813
0,BOR,61.0,Kick Sauber,90.85,18.0,SOFT,41.871,26.524,22.455,1.0,28.3,317.0,1,0.23159624663400524,0.07037239265747036
0,LAW,61.0,Racing Bulls,74.087,16.0,SOFT,25.236,26.422,22.429,12.0,28.3,296.0,1,0.09219112619073572,0.16996346356379705
0,SAI,61.0,Williams,74.36,17.0,SOFT,25.215,26.739,22.406,13.0,28.3,311.0,1,0.07282872220310715,0.18048606294682074
3,PIA,62.0,McLaren,72.583,1.0,HARD,24.761,25.835,21.987,10.0,28.0,295.0,3,0.06702994490619361,0.5271784137499006
3,NOR,62.0,McLaren,72.724,2.0,HARD,24.787,25.848,22.089,10.0,28.0,300.0,3,0.06177291708964673,0.5276061521246037
0,VER,62.0,Red Bull Racing,73.206,3.0,SOFT,24.836,26.24,22.13,12.0,28.0,303.0,1,0.07472276564052698,0.19073860302506357
0,HAD,62.0,Racing Bulls,73.386,4.0,SOFT,24.882,26.291,22.213,11.0,28.0,298.0,1,0.086014668041556,0.1814659015145066
0,RUS,62.0,Mercedes,73.907,5.0,SOFT,25.114,26.678,22.115,12.0,28.0,307.0,1,0.0773674814982365,0.1921044384791259
0,ALB,62.0,Williams,73.913,6.0,SOFT,25.031,26.814,22.068,9.0,28.0,324.0,1,0.05897651306028032,0.1623017401760351
0,ANT,62.0,Mercedes,73.916,7.0,SOFT,24.999,26.769,22.148,12.0,28.0,315.0,1,0.06665472757119113,0.1923405589921559
3,GAS,62.0,Alpine,75.91,8.0,HARD,25.924,27.227,22.759,39.0,28.0,303.0,3,0.043941867506601284,0.8224723135317666
0,BEA,62.0,Haas F1 Team,75.732,9.0,MEDIUM,26.083,27.167,22.482,9.0,28.0,329.0,2,0.06492477129566339,0.34473417668589074
3,ALO,62.0,Aston Martin,76.274,11.0,HARD,26.457,26.837,22.98,22.0,28.0,269.0,3,0.12591372411459317,0.6547853716327301
