kmeans_labels,Driver,LapNumber,Team,LapTime_Sec,Position,Sector1Time_Sec,Sector2Time_Sec,Sector3Time_Sec,TyreLife,TrackTemp,SpeedST,Compound_Num,pca_x,pca_y
1,RUS,41.0,Mercedes,131.214,4.0,44.501,29.287,57.426,7.0,19.2,156.0,3,0.6789984377762399,0.43973816113943964
4,LEC,41.0,Ferrari,128.829,5.0,43.051,28.891,56.887,8.0,19.2,238.0,3,0.5364435798806308,0.3893903156652162
4,TSU,41.0,Racing Bulls,127.526,6.0,42.467,30.028,55.031,8.0,19.2,257.0,2,0.5303969834955578,0.1101117609279676
4,ALB,41.0,Williams,127.143,7.0,42.976,29.357,54.81,8.0,19.2,196.0,2,0.6145134073766596,0.15149208262049785
4,HAM,41.0,Ferrari,126.607,8.0,43.723,28.691,54.193,9.0,19.2,241.0,3,0.5167178724339913,0.3949217937814805
4,GAS,41.0,Alpine,126.368,9.0,43.945,29.012,53.411,8.0,19.2,201.0,3,0.5798165802941269,0.41520197604404135
4,ANT,41.0,Mercedes,126.22,10.0,44.333,28.681,53.206,8.0,19.2,208.0,3,0.5691804595235066,0.4137165461364065
4,STR,41.0,Aston Martin,124.101,11.0,42.904,28.804,52.393,9.0,19.2,273.0,3,0.45458518098116907,0.37193365374213677
4,HUL,41.0,Kick Sauber,123.528,12.0,43.382,27.686,52.46,8.0,19.2,262.0,2,0.4952212125477443,0.11920915060064385
4,BOR,41.0,Kick Sauber,88.125,13.0,31.898,19.169,37.058,8.0,19.3,288.0,2,0.17423736181591268,0.024224191990227406
4,LAW,41.0,Red Bull Racing,86.446,14.0,30.467,19.372,36.607,8.0,19.3,295.0,2,0.1502248097954586,0.01349355522628326
4,OCO,41.0,Haas F1 Team,89.339,15.0,32.041,19.341,37.957,2.0,19.3,269.0,2,0.24003930644730695,0.013114852192149806
2,NOR,42.0,McLaren,83.797,1.0,30.016,18.891,34.89,9.0,19.3,298.0,3,0.09677845223613793,0.27691021292943757
2,PIA,42.0,McLaren,84.583,2.0,30.119,18.793,35.671,9.0,19.3,296.0,3,0.10392953928884699,0.2788376342249672
4,VER,42.0,Red Bull Racing,85.317,3.0,30.288,18.886,36.143,8.0,19.3,282.0,2,0.15983997274035322,0.022381254807550155
2,RUS,42.0,Mercedes,86.239,4.0,30.615,18.828,36.796,8.0,19.3,289.0,3,0.13022125670743973,0.2811410721993655
2,LEC,42.0,Ferrari,86.831,5.0,30.927,18.992,36.912,9.0,19.3,286.0,3,0.13453858787128928,0.2873930767620238
4,TSU,42.0,Racing Bulls,87.146,6.0,31.474,18.8,36.872,9.0,19.3,273.0,2,0.18191184433657734,0.03665558047635942
4,ALB,42.0,Williams,87.127,7.0,31.343,18.776,37.008,9.0,19.3,268.0,2,0.188316896711978,0.03922837264443746
2,HAM,42.0,Ferrari,87.508,8.0,31.531,19.059,36.918,10.0,19.3,268.0,3,0.16146951572296162,0.3042606687590675
2,GAS,42.0,Alpine,87.942,9.0,31.318,18.881,37.743,9.0,19.3,284.0,3,0.14455928539595111,0.2905312806455928
2,ANT,42.0,Mercedes,87.505,10.0,30.908,19.021,37.576,9.0,19.3,295.0,3,0.12543558362714655,0.2817242137921413
2,STR,42.0,Aston Martin,87.301,11.0,30.923,19.001,37.377,10.0,19.3,291.0,3,0.12487147351474928,0.2880451613307408
4,HUL,42.0,Kick Sauber,87.472,12.0,31.081,19.257,37.134,9.0,19.3,277.0,2,0.17834170728755364,0.031012271131300673
4,BOR,42.0,Kick Sauber,84.77,13.0,30.071,18.781,35.918,9.0,19.3,295.0,2,0.13187448464533882,0.017768961281322992
4,LAW,42.0,Red Bull Racing,84.098,14.0,29.498,18.79,35.81,9.0,19.3,296.0,2,0.12452940117454905,0.01481448451584888
4,OCO,42.0,Haas F1 Team,86.764,15.0,30.261,19.144,37.359,3.0,19.3,283.0,2,0.19294742481871263,0.0019054268895883908
2,NOR,43.0,McLaren,82.167,1.0,28.553,18.537,35.077,10.0,19.3,300.0,3,0.07257386959562911,0.2747590376677486
2,PIA,43.0,McLaren,83.242,2.0,28.966,18.613,35.663,10.0,19.3,304.0,3,0.07471187079782529,0.2737085816343812
4,VER,43.0,Red Bull Racing,83.081,3.0,28.878,18.569,35.634,9.0,19.3,297.0,2,0.11414594306706441,0.01248466181439567
