kmeans_labels,Driver,LapNumber,Team,LapTime_Sec,Position,Compound,S1_Delta,S2_Delta,S3_Delta,TyreLife,SpeedST,TrackTemp,Compound_Num,pca_x,pca_y
1,PIA,2.0,McLaren,75.745,1.0,MEDIUM,1.1239999999999988,1.4669999999999987,1.1659999999999968,2.0,279.0,29.3,2,-0.7311031568885771,-0.30818097101173253
3,VER,2.0,Red Bull Racing,76.304,2.0,SOFT,1.4179999999999993,1.748000000000001,1.1499999999999986,2.0,275.0,29.3,1,0.34527435312859994,-1.1995269380842448
3,NOR,2.0,McLaren,76.686,3.0,MEDIUM,1.5999999999999979,2.0199999999999996,1.0779999999999994,2.0,266.0,29.3,2,1.2045037481990228,-1.5456550266855387
3,HAD,2.0,Racing Bulls,76.55,4.0,MEDIUM,1.541999999999998,2.1439999999999984,0.8759999999999977,2.0,305.0,29.3,2,1.0469501075522203,-1.6074330941997843
3,LEC,2.0,Ferrari,77.076,5.0,MEDIUM,1.881999999999998,2.213000000000001,0.9929999999999986,2.0,304.0,29.3,2,1.9966185954493796,-1.866423848935072
3,RUS,2.0,Mercedes,76.688,6.0,MEDIUM,1.6660000000000004,2.059000000000001,0.9749999999999979,2.0,298.0,29.3,2,1.2555799911262395,-1.5797548398977799
3,HAM,2.0,Ferrari,76.716,7.0,MEDIUM,1.7439999999999998,1.980999999999998,1.0030000000000001,2.0,290.0,29.3,2,1.3085175494743035,-1.6433811006697963
3,LAW,2.0,Racing Bulls,76.919,8.0,MEDIUM,1.8959999999999972,1.8200000000000003,1.2149999999999999,2.0,289.0,29.3,2,1.5442562011540348,-1.3340111593698878
3,SAI,2.0,Williams,76.974,9.0,MEDIUM,1.9979999999999976,1.725999999999999,1.261999999999997,2.0,273.0,29.3,2,1.6476786484745716,-1.4495572245888286
3,ALB,2.0,Williams,77.145,10.0,MEDIUM,2.012999999999998,2.149000000000001,0.9949999999999974,2.0,282.0,29.3,2,2.175512972181059,-2.175762349356321
